Order,Action,Time
131, POSICIONAR PRESILHA DO TERMOSTATO NO TUBO CONDENSADOR,"3,63"
132, PEGAR ABRAÇADEIRA DE PLÁSTICO,"1,03"
133, FIXAR PRESILHA DE PLÁSTICO NA MÚRFULA DO CAPILAR,"4,87"
134, PEGAR ABRAÇADEIRA DE PLÁSTICO,"0,9"
135, FIXAR ABRAÇADEIRA DE PLÁSTICO NA MURFULA DA VÁLVULA DE DESCARGA,"2,2"
136, PEGAR O FIO DO TERMOSTATO,"1,3"
137, POSICIONAR O TERMOSTATO NO TUBO DO CONDENSADOR,"4,63"
138, RETIRAR A MANGUEIRA,"1,4"
139, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"1,73"
140, PEGAR O LEITOR DE CODIGOS DE BARRAS,"1,5"
141, PEGAR O CÓDIGO DO APARELHO SOBRE O PALLET,"1,5"
142, LER O CÓDIGO DO APARELHO  E BAIA,"2,09"
143, POSICIONAR A MÁSCARA SOBRE O COMPRESSOR,"1,18"
144, PEGAR A MANGUEIRA DE VÁCUO,2
145, POSICIONAR AS 2 MANGUEIRAS NO BICONETE,"3,02"
146, PEGAR ABRAÇADEIRA DE PLÁSTICO,"1,53"
147, FIXAR ABRAÇADEIRA NO SEPARADOR,5
148, TRAVAR O BOTÃO,2
149, PEGAR A VEDAÇÃO,"2,32"
150, ADERIR VEDAÇÃO NO SEPARADOR,"1,59"
151, PEGAR CHAVE ALLEN,"1,5"
152, FECHAR A VÃLVULA DE DESCARGA,"2,99"
153, RETIRAR AS 2 MANGUEIRAS DE VÁCUO DO BICOENETE,"2,52"
154, DESTRAVAR O BOTÃO DA BAIA,2
155, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,2
156, PEGAR O LEITOR DE CPODIGOS DE BARRAS,"1,5"
157, PEGAR O CÓDIGO DO APARELHO SOBRE O PALLET,"1,5"
158, LER O CÓDIGO DO APARELHO  E BAIA,"2,09"
159, POSICIONAR A MÁSCARA SOBRE O COMPRESSOR,"1,18"
160, PEGAR A MANGUEIRA DE VÁCUO,2
161, POSICIONAR AS 2 MANGUEIRAS NO BICONETE,"3,02"
162, PEGAR ABRAÇADEIRA DE PLÁSTICO,"1,53"
163, FIXAR ABRAÇADEIRA NO SEPARADOR,5
164, TRAVAR O BOTÃO,2
165, PEGAR A VEDAÇÃO,"2,32"
166, ADERIR VEDAÇÃO NO SEPARADOR,"1,59"
167, PEGAR CHAVE ALLEN,"1,5"
168, FECHAR A VÃLVULA DE DESCARGA,"2,99"
169, RETIRAR AS 2 MANGUEIRAS DE VÁCUO DO BICOENETE,"2,52"
170, DESTRAVAR O BOTÃO DA BAIA,2
171, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,2
172, PEGAR A PISTOLA DE CARGA,"1,03"
173, POSICIONAR A PISTOLA DE CARGA NO PRODUTO,"4,06"
174, APERTAR O BOTÃO DE START DE CARGA,"2,77"
175," TEMPO DE CARGA PISTOLA (38,37seg.), DIVIDE POR 2 (19,1seg.)","19,1"
176, PEGAR A PISTOLA DE CARGA,"1,13"
177, RETIRAR A PISTOLA DE CARGA,"1,22"
178, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"1,7"
179, PEGAR A CHAVE COMBINADA,"1,59"
180, DESAPERTAR O BICONETE DA VÁLVULA DE SUCÇÃO,"1,6"
181, DESENROSCAR O BICONETE DA VÁLVULA DE SUCÇÃO,"1,43"
182, POSICIONAR O BICONETE NO CARRO,"1,16"
183, PEGAR O AMOLGADOR,"1,12"
184, POSICIONAR O AMOLGADOR NO TUBO CAPILAR,"1,9"
185, RETIRAR O ENGATE DO TUBO CAPILAR,1
186, POSICIONAR O AMOLGADOR NO CARRO,"1,1"
187, PEGAR O MAÇARICO E VARETA DE SOLDA,"0,83"
188, ACENDER O MAÇARICO,"0,83"
189, FAZER A SOLDA DO TUBO CAPILAR (SELAGEM),"5,85"
190, POSICIONAR O MAÇARICO NO SUPORTE,"1,2"
191, RETIRAR O AMOLGADOR DO TUBO CAPILAR,"0,73"
192, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"1,03"
193, PEGAR A PONTA DO SNIFER SOBRE A MESA,"2,03"
194, FAZER O TESTE DE VAZAMENTO COM A PONTA DO SNIFER,"14,21"
195, POSICIONAR A PONTA DO SNIFER NO SUPORTE,"2,23"
196, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"1,95"
197, PEGAR A REDE ELÉTRICA E BORRACHA DO COMPRESSOR,"2,59"
198, POSICIONAR A BORRACHA BRANCA NO COMPRESSOR,"1,1"
199," CONECTAR A REDE ELÉTRICA FIO VERMELHO,PRETO E BRANCO","15,88"
200, PEGAR A TAMPA DO BORNER,"1,1"
201, POSICIONAR A TAMPA DO BORNER NO COMPRESSOR,"4,17"
202, PEGAR PORCA DA TAMPA DO BORNER,"1,23"
203, POSICIONAR A PORCA DA TAMPA DO BORNER,"0,96"
204, PEGAR A PARAFUSADEIRA RETA,"1,46"
205, FIXAR A PORCA NA TAMPA DO BORNER COM PARAFUSADEIRA RETA,"1,96"
206, APERTAR A BOTOTOEIRA E LIBERAR O PRODUTO,"1,23"
207, PEGAR PARAFUSADEIRA E PARAFUSO,"1,14"
208, POSICIONAR 1º PARAFUSO NA PARAFUSADEIRA,"1,26"
209, PEGAR O PAINEL LATERAL,"1,83"
210, POSICIONAR O PAINEL LATERAL NO PRODUTO,"2,46"
211, FIXAR O 1°PARAFUSO INFERIOR PAINEL LATERAL COM O CONDENSADOR,"1,76"
212, POSICIONAR O 2°PARAFUSO NA PARAFUSADEIRA,"1,23"
213, FIXAR O 2ºPARAFUSO SUPERIOR PAINEL LATERAL COM O CONDENSADOR,"2,26"
214, POSICIONAR O 3ºPARAFUSO NA PARAFUSADEIRA,"1,36"
215, FIXAR O 3ºPARAFUSO SUPERIOR PAINEL LATERAL COM A BASE DO PRODUTO,"1,6"
216, POSICIONAR O 4º PARAFUSO NA PARAFUSADEIRA,"1,43"
217, FIXAR O 5ºPARAFUSO INFERIOR PAINEL LATERAL COM BASE DO PRODUTO,"2,46"
218, GIRAR O PRODUTO,"1,06"
219, PEGAR O SUPORTE DOS COMPONENTES,"1,4"
220, POSICIONAR O SUPORTE DOS COMPONENTES NO PRODUTO,"1,86"
221, PEGAR PARAFUSO E PARAFUSADEIRA,"1,8"
222, FIXAR 1°PARAFUSO SEPARADOR COM SUPORTE DOS COMPONENTES,"5,37"
223, POSICIONAR O 2°PARAFUSO NA PARAFUSADEIRA,"1,63"
224, FIXAR O 2°PARAFUSO SEPARADOR COM O SUPORTE DOS COMPONENTES,"3,2"
225, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"1,86"
226, PEGAR O SUPORTE DOS COMPONENTES NO CARRO,"1,9"
227, POSICIONAR O SUPORTE DOS COMPONENTES NO DISPOSITIVO,"1,59"
228, PEGAR A PRESILHA NO MARFINITE,"1,4"
229, POSICIONAR A PRESILHA NO SUPORTE DOS COMPONENTES,"1,86"
230, PEGAR ABRAÇADEIRA METÁLICA,"1,03"
231, POSICIONAR ABRAÇADEIRA METÁLICA NO SUPORTE DOS COMPONENTES,"3,06"
232, PEGAR O CAPACITOR DO COMPRESSOR NO MARFINITE,"0,6"
233, POSICIONAR O CAPACITOR DO COMPRESSOR NO SUPORTE DOS COMPONENTES,"1,8"
234, PEGAR PARAFUSO E PARAFUSADEIRA RETA,"0,96"
235, POSICIONAR PARAFUSO NA PARAFUSADEIRA,"1,56"
236, FIXAR PARAFUSO ABRAÇADEIRA COM CAPACITOR DO COMPRESSOR,"2,4"
237, GIRAR O SUPORTE DOS COMPONENTES,"1,16"
238, PEGAR O CAPACITOR DO MOTOR VENTILADOR,"1,66"
239, POSICIONAR O CAPACITOR DO MOTOR VENTILADOR,"1,23"
240, PEGAR PARAFUSO E PARAFUSADEIRA RETA,"0,56"
241, POSICIONAR PARAFUSO NA PARAFUSADEIRA,"1,06"
242, FIXAR PARAFUSO CAPACITOR DO MOTOR VENTILADOR NO SUPORTE DOS COMPONENTES,"3,07"
243, PEGAR O CAPACITOR CONTACTOR NA CAIXA E FIO MARRON MAIOR,"1,06"
244, CONECTAR O FIO MARRON MAIOR NO L1 DO CONTACTOR,"2,9"
245, POSICIONAR O CAPACITOR CONTACTOR NO SUPORTE DOS COMPONENTES,"1,5"
246, PEGAR PARAFUSADEIRA RETA E PARAFUSO,"0,96"
247, POSICIONAR PARAFUSO NA PARAFUSADEIRA RETA,"1,2"
248, FIXAR 1° PARAFUSO CAPACITOR CONTACTOR NO SUPORTE DOS COMPONENTES,"1,73"
249, FIXAR O 2°PARAFUSO CAPACITOR CONTACTOR NO SUPORTE DOS COMPONENTES,"2,93"
250, PEGAR BORNEIRA DE CONEXÕES,"1,2"
251, POSICIONAR BORNEIRA DE CONEXÕES NO SUPORTE DOS COMPONENTES,"1,46"
252, PEGAR PARAFUSO E PARAFUSADEIRA RETA,"1,66"
253, FIXAR PARAFUSO BORNEIRA DAS CONEXÕES NO SUPORTE DOS COMPONENTES,"3,17"
254, DISPONIBILIZAR PARA O PROXIMO POSTO,"1,13"
255, PEGAR O SUPORTE DOS COMPONENTES,"0,6"
256, POSICIONAR O SUPORTE DOS COMPONENTES NO DISPOSITIVO,"1,13"
257, PEGAR O FIO MARRON MAIOR E MENOR,"2,23"
258, CONECTAR O FIO MARRON MAIOR E MENOR NO CAPACITOR CONTACTOR,"2,66"
259, PEGAR O FIO AZUL,"2,03"
260, CONECTAR O FIO AZUL MENOR NO CONTACTOR,"2,4"
261, PEGAR O FIO AZUL MAIOR,"2,26"
262, PEGAR PARAFUSO E 1° FIO TERRA,"3,53"
263, POSICIONAR PARAFUSO NO FIO TERRA,"1,6"
264, FIXAR 1°PARAFUSO FIO TERRA NO SUPORTE DOS COMPONENTES,"3,7"
265, PEGAR PARAFUSO E 2°FIO TERRA,"1,86"
266, POSICIONAR O PARAFUSO NO 2°FIO TERRA,"3,77"
267, FIXAR 2°PARAFUSO FIO TERRA NO SUPORTE DOS COMPONENTES,"3,57"
268, PEGAR PARAFUSO E BORNEIRA,"1,63"
269, POSICIONAR A BORNEIRA NO SUPORTE DOS COMPONENTES,"0,86"
270, PEGAR PARAFUSADEIRA RETA E PARAFUSO,"0,56"
271, POSICIONAR PARAFUSO NA PARAFUSADEIRA,"1,06"
272, FIXAR O 1°PARAFUSO NA BORNEIRA,"1,83"
273, POSICIONAR O 2°PARAFUSO NA PARAFUSADEIRA RETA,"2,23"
274, FIXAR O 2°PARAFUSO NA BORNEIRA,"1,3"
275, PEGAR O SUPORTE METÁLICO DA BORNEIRA,"1,41"
276, POSICIONAR O SUPORTE METÁLICO DA BORNEIRA NO SUPORTE DOS COMPONENTES,"0,86"
277, FIXAR COM PARAFUSO SUPORTE DA BORNEIRA METÁLICA,"2,1"
278, PEGAR A 2°BORNEIRA E PARAFUSO,"1,6"
279, FIXAR O 1°PARAFUSO BORNEIRA NO SUPORTE METÁLICO DA BORNEIRA,"4,5"
280, FIXAR O 2°PARAFUSO BORNEIRA NO SUPORTE METÁLICO DA BORNEIRA,"2,7"
281, FIXAR COM PARAFUSADEIRA 2 FIO TERRA NA BORNEIRA,"8,3"
282, DISPONIBILIZAR SUPORTE PARA O PROXIMO POSTO,"1,16"
283, PEGAR O SUPORTE DOS COMPONENTES,"1,23"
284, POSICIONAR O SUPORTE DOS COMPONENTES NO DISPOSITIVO,"0,93"
285, FOLGAR OS PARAFUSO DA BORNEIRA,"7,84"
286, PEGAR O FIO AZUL,"0,83"
287, POSICIONAR O FIO AZUL NA BORNEIRA,"2,5"
288, POSICIONAR OS 2 FIOS MARRONS NA BORNEIRA INFERIOR,"4,13"
289, FIXAR OS 2 FIOS MARRONS NA BORNEIRA INFERIOR,"4,4"
290, CONECTAR O FIO AMARELO NA BORNEIRA COM PARAFUSADEIRA,"3,37"
291, POSICIONAR A BORNEIRA SUPERIOR,"1,36"
292, CONECTAR O 1°FIO AZUL NA BORNEIRA SUPERIOR COM PARAFUSADEIRA,"8,37"
293, CONECTAR O FIO AZUL E MARRON NA BORNEIRA SUPERIOR COM PARAFUSADEIRA,"7,97"
294, DISPONIBILIZAR O SUPORTE DOS COMPONENTES PARA O PROXIMO POSTO,"1,23"
295, PEGAR O SUPORTE DOS COMPONENTES,"1,94"
296, POSICIONAR O SUPORTE DOS COMPONENTES NO DISPOSITIVO,"1,8"
297, PEGAR O CABO DE ALIMENTAÇÃO NO DISPOSITIVO,"1,76"
298, CONECTAR O FIO AZUL NO (N) DA BORNEIRA DE 5 TERMINAIS,"4,14"
299, CONECTAR O FIO AZUL JUMPER NO TERMINAL (1L) DA BORNEIRA DE  TERMINAIS,"4,23"
300, CONECTAR O FIO AZUL DA CHAVE INVERSORA NO TERMINAL 2L DA BORNEIRA DE 5 TERMINAIS DO CABO,"2,76"
301, CONECTAR O OUTRO FIO AZUL DO JUMPER NO TERMINAL (3L) DA BORNEIRA DE 5 TERMINAIS,"2,93"
302, CONECTAR O 1° FIO TERRA DA CABO DE ALIMENTAÇÃO NO SIMBOLO TERRA NA BRONEIRA DE 4 TERMINAIS,"3,07"
303,  CONECTAR O 2° FIO TERRA DA CABO DE ALIMENTAÇÃO NO SIMBOLO TERRA NA BRONEIRA DE 4 TERMINAIS,"2,29"
304, POSICIONAR O FIO MARROM O COMPLEMENTO DO AZUL DO CABO NO TERMINAL (L) DA BORNEIRA 4 TERMINAIS,"3,54"
305, PEGAR A PRESILHA PLÁSTICA NO MARFINITE,"1,2"
306, POSICIONAR A PRESILHA PLÁSTICA NO SUPORTE DOS COMPONENTES,"1,13"
307, PEGAR PARAFUSO E PARAFUSADEIRA RETA,"1,43"
308, POSICIONAR PARAFUSO NA PARAFUSADEIRA RETA,"1,7"
309, FIXAR 1°PARAFUSO NA PRESILHJA DE PLÁSTICO NO SUPORTE DOS COMPONENTES,"3,9"
310, FIXAR O 2° PARAFUSO  NA PRESILHA DE PLÁSTICO NO SUPORTE DOS COMPONENTES,"4,73"
311, PEGAR A PRESILHA DO FIO TERMISTOR,"2,43"
312, POSICIONAR A PRESILHA DO TERMISTOR NO SUPORTE DOS COMPONENTES,"3,43"
313, FIXAR A PRESILHA DO TERMISTOR COM PARAFUSADEIRA,"4,87"
314, PEGAR O FIO AZUL DA BOBINA SOLENOIDE,"1,6"
315, POSICIONAR O FIO AZUL DA BOBINA NO TERMINAL (L) DA BORNEIRA,"3,73"
316, FIXAR O FIO AZUL DA BOBINA NO TERMINAL (2L) DA BORNEIRA COM PARAFUSADEIRA,"7,67"
317, POSICIONAR O SUPORTE DA BORNEIRA DE  TERMINAIS,"1,96"
318, PEGAR PARAFUSO E PARAFUSADEIRA,"2,46"
319, FIXAR PARAFUSO DO SUPORTE DA BORNEIRA  DE 4 TERMINAIS NO SUPORTE DOS COMPONENTES,"6,81"
320, PEGAR PARAFUSO NA PARAFUSADEIRA,"3,05"
321, PEGAR O FIO TERRA,"5,87"
322, FIXAR O FIO TERRA NO SUPORTE DOS COMPONENTES COM PARAFUSADEIRA,"4,27"
323, CONECTAR O FIO LARANJA DO COMPRESSOR NO LADO DIREITO DO COMPRESSOR,"4,85"
324, CONECTAR O FIO VERMELHO DO COMPRESSOR NO LADO ESQUERDO DO COMPRESSOR,"3,9"
325, CONECTAR O FIO PRETO DO MOTOR NO TERMINAL DO CONTACTOR,"5,73"
326, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"2,2"
327, PEGAR O FIO,"1,39"
328, CONECTAR O FIO AZUL DA BOBINA SOLENOIDE NO TERMINAL DE 4 POLOS DO CAPACITOR DO COMPRESSOR,"2,51"
329, PEGAR O FIO BRANCO E VERMELHO DA REDE ELÉTRICA DO COMPRESSOR,"2,73"
330, CONECTAR O FIO BRANCO DA REDE ELÉTRICA DO COMPRESSOR NO CAPACITOR DO COMPRESSOR,"2,7"
331, CONECTAR O FIO VERMELHO DA REDE ELÉTRICA DO COMPRESSOR NO CAPACITOR DO COMPRESSOR,"3,9"
332, PEGAR O FIO BRANCO DO MOTOR VENTILADOR,"3,09"
333, CONECTAR O FIO BRANCO DO MOTOR VENTILADOR NO TERMINAL 2 LADO ESQUERDO DA BORNEIRA DAS CONEXÕES,"4,51"
334, PEGAR O FIO PRETO DO MOTOR VENTILADOR,1
335, CONECTAR O FIO PRETO DO MOTOR VENTILADOR NO TERMINAL 1 LADO DIREITO DA BORNEIRA DAS CONEXÕES,"2,76"
336, ARRUMAR A FIAÇÃO,"10,04"
337, PEGAR ABRAÇADEIRA DE PLÁSTICO,"1,76"
338, AMARRAR A FIAÇÃO COM ABRAÇADEIRA DE PLÁSTICO,"5,77"
339, PEGAR O FIO DO TERMOSTATO,"2,2"
340, PRENDER O FIO DO TERMOSTATO NA PRESILHA NO SUPORTE DOS COMPONENTES,"5,8"
341, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"2,33"
342, PEGAR O PAINEL FRONTAL NO CARRO,2
343, POSICIONAR O PAINEL FRONTAL NO PRODUTO,"4,2"
344, PEGAR O 1°PARAFUSO E PARAFUSADEIRA,"3,33"
345, POSICIONAR 1°PARAFUSO NA PARAFUSADEIRA,"1,16"
346, FIXAR 1°PARAFUSO INFERIOR PAINEL FRONTAL COM BASE DO PRODUTO,"1,23"
347, POSICIONAR O 2°PARAFUSO NA PARAFUSADEIRA,"1,93"
348, FIXAR O 2°PARAFUSO SUPERIOR PAINEL FRONTAL COM O SEPARADOR,"4,07"
349, POSICIONAR O 3°PARAFUSO NA PARAFUSADEIRA,"2,33"
350, FIXAR O 3°PARAFUSO SUPERIOR PAINEL FRONTAL COM SUPORTE DO MOTOR VENTILADOR,3
351, POSICIONAR O 4°PARAFUSO NA PARAFUSADEIRA,"2,63"
352, FIXAR O 4°PARAFUSO SUPERIOR PAINEL FRONTAL COM SUPORTE DO MOTOR VENTILADOR,"2,13"
353, POSICIONAR O 5°PARAFUSO NA PARAFUSADEIRA,"2,13"
354, FIXAR O 5°PARAFUSO INFERIOR PAINEL FRONTAL COM BASE DO PRODUTO,"2,53"
355, POSICIONAR O 6°PARAFUSO NA PARAFUSADEIRA,"2,3"
356, FIXAR O 6°PARAFUSO INFERIOR PAINEL FRONTAL COM BASE DO PRODUTO,"2,36"
357, GIRAR O PRODUTO,"1,53"
358, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"1,2"
